covariate,corr_raw,corr_adj,intervention
age,0.13739231052280823,-0.02141775243754489,Diet quality
sex,-0.062465547003765325,-0.06234729008347716,Diet quality
bmi,-0.020440091909601096,0.004216843705540419,Diet quality
race,-0.14717771113390007,-0.08478624178506068,Diet quality
educ,-0.13808630881220504,-0.03725985231090363,Diet quality
age,-0.043287516868177646,-0.011189316802990963,Sleep duration (h)
sex,-0.03459563069113391,0.045216931609095165,Sleep duration (h)
bmi,-0.00029937012853386387,-0.004554343366388147,Sleep duration (h)
race,-0.0870104849480321,0.017467956696912475,Sleep duration (h)
educ,-0.10505159916183017,0.010943356909627179,Sleep duration (h)
age,-0.20206488812765264,-0.006428638152217584,Physical activity (min/wk)
sex,-0.17657689533876378,-0.03539028439766822,Physical activity (min/wk)
bmi,-0.06612970523107359,-0.004708048396727143,Physical activity (min/wk)
race,0.07203289552462022,0.050544981584789456,Physical activity (min/wk)
educ,0.017180337380768983,-0.03046199044970721,Physical activity (min/wk)
